Mystery Machine
Rule #1 : q1,a|qa,#,R
Rule #2 : q1,b|qb,#,R
Rule #3 : q1,c|qc,#,R
Rule #4 : q1,x|q1,#,R
Rule #5 : q1,_|qaccept,#,L
Rule #6 : qa,x|qa,x,R
Rule #7 : qa,a|qa,a,R
Rule #8 : qa,b|qab,x,R
Rule #9 : qa,c|qac,x,R
Rule #10 : qa,_|qreject,#,L
Rule #11 : qb,x|qb,x,R
Rule #12 : qb,b|qb,b,R
Rule #13 : qb,a|qba,x,R
Rule #14 : qb,c|qbc,x,R
Rule #15 : qb,_|qreject,#,L
Rule #16 : qc,x|qc,x,R
Rule #17 : qc,c|qc,c,R
Rule #18 : qc,a|qca,x,R
Rule #19 : qc,b|qcb,x,R
Rule #20 : qc,_|qreject,#,L
Rule #21 : qab,x|qab,x,R
Rule #22 : qab,a|qab,a,R
Rule #23 : qab,b|qab,b,R
Rule #24 : qab,c|qabc,x,L
Rule #25 : qab,_|qreject,#,L
Rule #26 : qac,x|qac,x,R
Rule #27 : qac,a|qac,a,R
Rule #28 : qac,c|qac,c,R
Rule #29 : qac,b|qabc,x,L
Rule #30 : qac,_|qreject,b,L
Rule #31 : qba,x|qba,x,R
Rule #32 : qba,a|qba,a,R
Rule #33 : qba,b|qba,b,R
Rule #34 : qba,c|qabc,x,L
Rule #35 : qba,_|qreject,#,L
Rule #36 : qbc,x|qbc,x,R
Rule #37 : qbc,b|qbc,b,R
Rule #38 : qbc,c|qbc,c,R
Rule #39 : qbc,a|qabc,x,L
Rule #40 : qbc,_|qreject,#,L
Rule #41 : qca,x|qca,x,R
Rule #42 : qca,a|qca,a,R
Rule #43 : qca,c|qca,c,R
Rule #44 : qca,b|qabc,x,L
Rule #45 : qca,_|qreject,#,L
Rule #46 : qcb,x|qcb,x,R
Rule #47 : qcb,c|qcb,c,R
Rule #48 : qcb,b|qcb,b,R
Rule #49 : qcb,a|qabc,x,L
Rule #50 : qcb,_|qreject,#,L
Rule #51 : qabc,a|qabc,a,L
Rule #52 : qabc,b|qabc,b,L
