plee4: TM that decides a language consisting of all strings of 0s whose length is a power of 2
Rule #1 : q1,0|q2,_,R
Rule #2 : q1,_|qreject,_,R
Rule #3 : q1,x|qreject,x,R
Rule #4 : q2,x|q2,x,R
Rule #5 : q2,0|q3,x,R
Rule #6 : q2,_|qaccept,_,R
Rule #7 : q3,x|q3,x,R
Rule #8 : q3,0|q4,0,R
Rule #9 : q3,_|q5,_,L
Rule #10 : q4,x|q4,x,R
Rule #11 : q4,0|q3,x,R
Rule #12 : q4,_|qreject,_,R
Rule #13 : q5,0|q5,0,L
Rule #14 : q5,x|q5,x,L
Rule #15 : q5,_|q2,_,R 

Tape:  0_
Step # 1 @ Current Tape Head Index  0 # Rule Number 1 : q1 0 | q2 _ 1
Step # 2 @ Current Tape Head Index  1 # Rule Number 6 : q2 _ | qaccept _ 2
Accepted : _


Tape:  00_
Step # 1 @ Current Tape Head Index  0 # Rule Number 1 : q1 0 | q2 _ 1
Step # 2 @ Current Tape Head Index  1 # Rule Number 5 : q2 0 | q3 x 2
Step # 3 @ Current Tape Head Index  2 # Rule Number 9 : q3 _ | q5 _ 1
Step # 4 @ Current Tape Head Index  1 # Rule Number 14 : q5 x | q5 x 0
Step # 5 @ Current Tape Head Index  0 # Rule Number 15 : q5 _ | q2 _ 1
Step # 6 @ Current Tape Head Index  1 # Rule Number 4 : q2 x | q2 x 2
Step # 7 @ Current Tape Head Index  2 # Rule Number 6 : q2 _ | qaccept _ 3
Accepted : _x


Tape:  0000_
Step # 1 @ Current Tape Head Index  0 # Rule Number 1 : q1 0 | q2 _ 1
Step # 2 @ Current Tape Head Index  1 # Rule Number 5 : q2 0 | q3 x 2
Step # 3 @ Current Tape Head Index  2 # Rule Number 8 : q3 0 | q4 0 3
Step # 4 @ Current Tape Head Index  3 # Rule Number 11 : q4 0 | q3 x 4
Step # 5 @ Current Tape Head Index  4 # Rule Number 9 : q3 _ | q5 _ 3
Step # 6 @ Current Tape Head Index  3 # Rule Number 14 : q5 x | q5 x 2
Step # 7 @ Current Tape Head Index  2 # Rule Number 13 : q5 0 | q5 0 1
Step # 8 @ Current Tape Head Index  1 # Rule Number 14 : q5 x | q5 x 0
Step # 9 @ Current Tape Head Index  0 # Rule Number 15 : q5 _ | q2 _ 1
Step # 10 @ Current Tape Head Index  1 # Rule Number 4 : q2 x | q2 x 2
Step # 11 @ Current Tape Head Index  2 # Rule Number 5 : q2 0 | q3 x 3
Step # 12 @ Current Tape Head Index  3 # Rule Number 7 : q3 x | q3 x 4
Step # 13 @ Current Tape Head Index  4 # Rule Number 9 : q3 _ | q5 _ 3
Step # 14 @ Current Tape Head Index  3 # Rule Number 14 : q5 x | q5 x 2
Step # 15 @ Current Tape Head Index  2 # Rule Number 14 : q5 x | q5 x 1
Step # 16 @ Current Tape Head Index  1 # Rule Number 14 : q5 x | q5 x 0
Step # 17 @ Current Tape Head Index  0 # Rule Number 15 : q5 _ | q2 _ 1
Step # 18 @ Current Tape Head Index  1 # Rule Number 4 : q2 x | q2 x 2
Step # 19 @ Current Tape Head Index  2 # Rule Number 4 : q2 x | q2 x 3
Step # 20 @ Current Tape Head Index  3 # Rule Number 4 : q2 x | q2 x 4
Step # 21 @ Current Tape Head Index  4 # Rule Number 6 : q2 _ | qaccept _ 5
Accepted : _xxx


Tape:  00000000_
Step # 1 @ Current Tape Head Index  0 # Rule Number 1 : q1 0 | q2 _ 1
Step # 2 @ Current Tape Head Index  1 # Rule Number 5 : q2 0 | q3 x 2
Step # 3 @ Current Tape Head Index  2 # Rule Number 8 : q3 0 | q4 0 3
Step # 4 @ Current Tape Head Index  3 # Rule Number 11 : q4 0 | q3 x 4
Step # 5 @ Current Tape Head Index  4 # Rule Number 8 : q3 0 | q4 0 5
Step # 6 @ Current Tape Head Index  5 # Rule Number 11 : q4 0 | q3 x 6
Step # 7 @ Current Tape Head Index  6 # Rule Number 8 : q3 0 | q4 0 7
Step # 8 @ Current Tape Head Index  7 # Rule Number 11 : q4 0 | q3 x 8
Step # 9 @ Current Tape Head Index  8 # Rule Number 9 : q3 _ | q5 _ 7
Step # 10 @ Current Tape Head Index  7 # Rule Number 14 : q5 x | q5 x 6
Step # 11 @ Current Tape Head Index  6 # Rule Number 13 : q5 0 | q5 0 5
Step # 12 @ Current Tape Head Index  5 # Rule Number 14 : q5 x | q5 x 4
Step # 13 @ Current Tape Head Index  4 # Rule Number 13 : q5 0 | q5 0 3
Step # 14 @ Current Tape Head Index  3 # Rule Number 14 : q5 x | q5 x 2
Step # 15 @ Current Tape Head Index  2 # Rule Number 13 : q5 0 | q5 0 1
Step # 16 @ Current Tape Head Index  1 # Rule Number 14 : q5 x | q5 x 0
Step # 17 @ Current Tape Head Index  0 # Rule Number 15 : q5 _ | q2 _ 1
Step # 18 @ Current Tape Head Index  1 # Rule Number 4 : q2 x | q2 x 2
Step # 19 @ Current Tape Head Index  2 # Rule Number 5 : q2 0 | q3 x 3
Step # 20 @ Current Tape Head Index  3 # Rule Number 7 : q3 x | q3 x 4
Step # 21 @ Current Tape Head Index  4 # Rule Number 8 : q3 0 | q4 0 5
Step # 22 @ Current Tape Head Index  5 # Rule Number 10 : q4 x | q4 x 6
Step # 23 @ Current Tape Head Index  6 # Rule Number 11 : q4 0 | q3 x 7
Step # 24 @ Current Tape Head Index  7 # Rule Number 7 : q3 x | q3 x 8
Step # 25 @ Current Tape Head Index  8 # Rule Number 9 : q3 _ | q5 _ 7
Step # 26 @ Current Tape Head Index  7 # Rule Number 14 : q5 x | q5 x 6
Step # 27 @ Current Tape Head Index  6 # Rule Number 14 : q5 x | q5 x 5
Step # 28 @ Current Tape Head Index  5 # Rule Number 14 : q5 x | q5 x 4
Step # 29 @ Current Tape Head Index  4 # Rule Number 13 : q5 0 | q5 0 3
Step # 30 @ Current Tape Head Index  3 # Rule Number 14 : q5 x | q5 x 2
Step # 31 @ Current Tape Head Index  2 # Rule Number 14 : q5 x | q5 x 1
Step # 32 @ Current Tape Head Index  1 # Rule Number 14 : q5 x | q5 x 0
Step # 33 @ Current Tape Head Index  0 # Rule Number 15 : q5 _ | q2 _ 1
Step # 34 @ Current Tape Head Index  1 # Rule Number 4 : q2 x | q2 x 2
Step # 35 @ Current Tape Head Index  2 # Rule Number 4 : q2 x | q2 x 3
Step # 36 @ Current Tape Head Index  3 # Rule Number 4 : q2 x | q2 x 4
Step # 37 @ Current Tape Head Index  4 # Rule Number 5 : q2 0 | q3 x 5
Step # 38 @ Current Tape Head Index  5 # Rule Number 7 : q3 x | q3 x 6
Step # 39 @ Current Tape Head Index  6 # Rule Number 7 : q3 x | q3 x 7
Step # 40 @ Current Tape Head Index  7 # Rule Number 7 : q3 x | q3 x 8
Step # 41 @ Current Tape Head Index  8 # Rule Number 9 : q3 _ | q5 _ 7
Step # 42 @ Current Tape Head Index  7 # Rule Number 14 : q5 x | q5 x 6
Step # 43 @ Current Tape Head Index  6 # Rule Number 14 : q5 x | q5 x 5
Step # 44 @ Current Tape Head Index  5 # Rule Number 14 : q5 x | q5 x 4
Step # 45 @ Current Tape Head Index  4 # Rule Number 14 : q5 x | q5 x 3
Step # 46 @ Current Tape Head Index  3 # Rule Number 14 : q5 x | q5 x 2
Step # 47 @ Current Tape Head Index  2 # Rule Number 14 : q5 x | q5 x 1
Step # 48 @ Current Tape Head Index  1 # Rule Number 14 : q5 x | q5 x 0
Step # 49 @ Current Tape Head Index  0 # Rule Number 15 : q5 _ | q2 _ 1
Step # 50 @ Current Tape Head Index  1 # Rule Number 4 : q2 x | q2 x 2
Step # 51 @ Current Tape Head Index  2 # Rule Number 4 : q2 x | q2 x 3
Step # 52 @ Current Tape Head Index  3 # Rule Number 4 : q2 x | q2 x 4
Step # 53 @ Current Tape Head Index  4 # Rule Number 4 : q2 x | q2 x 5
Step # 54 @ Current Tape Head Index  5 # Rule Number 4 : q2 x | q2 x 6
Step # 55 @ Current Tape Head Index  6 # Rule Number 4 : q2 x | q2 x 7
Step # 56 @ Current Tape Head Index  7 # Rule Number 4 : q2 x | q2 x 8
Step # 57 @ Current Tape Head Index  8 # Rule Number 6 : q2 _ | qaccept _ 9
Accepted : _xxxxxxx


Tape:  0000000000000000_
Step # 1 @ Current Tape Head Index  0 # Rule Number 1 : q1 0 | q2 _ 1
Step # 2 @ Current Tape Head Index  1 # Rule Number 5 : q2 0 | q3 x 2
Step # 3 @ Current Tape Head Index  2 # Rule Number 8 : q3 0 | q4 0 3
Step # 4 @ Current Tape Head Index  3 # Rule Number 11 : q4 0 | q3 x 4
Step # 5 @ Current Tape Head Index  4 # Rule Number 8 : q3 0 | q4 0 5
Step # 6 @ Current Tape Head Index  5 # Rule Number 11 : q4 0 | q3 x 6
Step # 7 @ Current Tape Head Index  6 # Rule Number 8 : q3 0 | q4 0 7
Step # 8 @ Current Tape Head Index  7 # Rule Number 11 : q4 0 | q3 x 8
Step # 9 @ Current Tape Head Index  8 # Rule Number 8 : q3 0 | q4 0 9
Step # 10 @ Current Tape Head Index  9 # Rule Number 11 : q4 0 | q3 x 10
Step # 11 @ Current Tape Head Index  10 # Rule Number 8 : q3 0 | q4 0 11
Step # 12 @ Current Tape Head Index  11 # Rule Number 11 : q4 0 | q3 x 12
Step # 13 @ Current Tape Head Index  12 # Rule Number 8 : q3 0 | q4 0 13
Step # 14 @ Current Tape Head Index  13 # Rule Number 11 : q4 0 | q3 x 14
Step # 15 @ Current Tape Head Index  14 # Rule Number 8 : q3 0 | q4 0 15
Step # 16 @ Current Tape Head Index  15 # Rule Number 11 : q4 0 | q3 x 16
Step # 17 @ Current Tape Head Index  16 # Rule Number 9 : q3 _ | q5 _ 15
Step # 18 @ Current Tape Head Index  15 # Rule Number 14 : q5 x | q5 x 14
Step # 19 @ Current Tape Head Index  14 # Rule Number 13 : q5 0 | q5 0 13
Step # 20 @ Current Tape Head Index  13 # Rule Number 14 : q5 x | q5 x 12
Step # 21 @ Current Tape Head Index  12 # Rule Number 13 : q5 0 | q5 0 11
Step # 22 @ Current Tape Head Index  11 # Rule Number 14 : q5 x | q5 x 10
Step # 23 @ Current Tape Head Index  10 # Rule Number 13 : q5 0 | q5 0 9
Step # 24 @ Current Tape Head Index  9 # Rule Number 14 : q5 x | q5 x 8
Step # 25 @ Current Tape Head Index  8 # Rule Number 13 : q5 0 | q5 0 7
Step # 26 @ Current Tape Head Index  7 # Rule Number 14 : q5 x | q5 x 6
Step # 27 @ Current Tape Head Index  6 # Rule Number 13 : q5 0 | q5 0 5
Step # 28 @ Current Tape Head Index  5 # Rule Number 14 : q5 x | q5 x 4
Step # 29 @ Current Tape Head Index  4 # Rule Number 13 : q5 0 | q5 0 3
Step # 30 @ Current Tape Head Index  3 # Rule Number 14 : q5 x | q5 x 2
Step # 31 @ Current Tape Head Index  2 # Rule Number 13 : q5 0 | q5 0 1
Step # 32 @ Current Tape Head Index  1 # Rule Number 14 : q5 x | q5 x 0
Step # 33 @ Current Tape Head Index  0 # Rule Number 15 : q5 _ | q2 _ 1
Step # 34 @ Current Tape Head Index  1 # Rule Number 4 : q2 x | q2 x 2
Step # 35 @ Current Tape Head Index  2 # Rule Number 5 : q2 0 | q3 x 3
Step # 36 @ Current Tape Head Index  3 # Rule Number 7 : q3 x | q3 x 4
Step # 37 @ Current Tape Head Index  4 # Rule Number 8 : q3 0 | q4 0 5
Step # 38 @ Current Tape Head Index  5 # Rule Number 10 : q4 x | q4 x 6
Step # 39 @ Current Tape Head Index  6 # Rule Number 11 : q4 0 | q3 x 7
Step # 40 @ Current Tape Head Index  7 # Rule Number 7 : q3 x | q3 x 8
Step # 41 @ Current Tape Head Index  8 # Rule Number 8 : q3 0 | q4 0 9
Step # 42 @ Current Tape Head Index  9 # Rule Number 10 : q4 x | q4 x 10
Step # 43 @ Current Tape Head Index  10 # Rule Number 11 : q4 0 | q3 x 11
Step # 44 @ Current Tape Head Index  11 # Rule Number 7 : q3 x | q3 x 12
Step # 45 @ Current Tape Head Index  12 # Rule Number 8 : q3 0 | q4 0 13
Step # 46 @ Current Tape Head Index  13 # Rule Number 10 : q4 x | q4 x 14
Step # 47 @ Current Tape Head Index  14 # Rule Number 11 : q4 0 | q3 x 15
Step # 48 @ Current Tape Head Index  15 # Rule Number 7 : q3 x | q3 x 16
Step # 49 @ Current Tape Head Index  16 # Rule Number 9 : q3 _ | q5 _ 15
Step # 50 @ Current Tape Head Index  15 # Rule Number 14 : q5 x | q5 x 14
Step # 51 @ Current Tape Head Index  14 # Rule Number 14 : q5 x | q5 x 13
Step # 52 @ Current Tape Head Index  13 # Rule Number 14 : q5 x | q5 x 12
Step # 53 @ Current Tape Head Index  12 # Rule Number 13 : q5 0 | q5 0 11
Step # 54 @ Current Tape Head Index  11 # Rule Number 14 : q5 x | q5 x 10
Step # 55 @ Current Tape Head Index  10 # Rule Number 14 : q5 x | q5 x 9
Step # 56 @ Current Tape Head Index  9 # Rule Number 14 : q5 x | q5 x 8
